leaf_uid,registration_method,leaf_style,fixed_image,moving_image,MSE,NCC,MI,SSIM,IoU,Hausdorff
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,7,0.02467065490782261,0.01979953609406948,1.0050303936004639,0.6835634112358093,0.9324398040771484,18.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,8,0.03358202427625656,0.0247188787907362,1.0027530193328857,0.6796008348464966,0.9361074566841125,16.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,9,0.0456993393599987,0.021403150632977486,1.0017452239990234,0.6758043169975281,0.9356462359428406,17.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,10,0.06555937230587006,0.03966401517391205,1.002152442932129,0.6617826223373413,0.9300987720489502,20.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,11,0.03280322626233101,0.04017777368426323,1.017165184020996,0.673163115978241,0.9296004772186279,18.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,12,0.07752916216850281,0.005072883330285549,1.0123244524002075,0.6517168879508972,0.885169506072998,27.085044860839844
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,13,0.05145525559782982,-0.0008842984680086374,1.0043917894363403,0.5846841931343079,0.6461393237113953,78.17628479003906
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,1,0.004553291480988264,0.18168392777442932,1.0280492305755615,0.4128102660179138,0.9283443689346313,82.0
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,2,0.013387066312134266,0.2620576322078705,1.0256500244140625,0.3921186625957489,0.9283562898635864,82.38531494140625
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,3,0.02385425753891468,0.15629154443740845,1.0114483833312988,0.39056333899497986,0.9283607006072998,82.45838928222656
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,4,0.011940923519432545,0.11972614377737045,1.0161349773406982,0.32750099897384644,0.9282870292663574,82.0
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,5,0.024108512327075005,0.09839960187673569,1.0126500129699707,0.31779617071151733,0.9279361367225647,82.0
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,6,0.022128766402602196,0.15588827431201935,1.0124253034591675,0.3345812261104584,0.92814701795578,82.00408172607422
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,7,0.0399959571659565,0.10280004888772964,1.0083942413330078,0.29458099603652954,0.9281623363494873,82.0
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,8,0.027256743982434273,0.055116891860961914,1.0072609186172485,0.3095788061618805,0.9263795614242554,82.0
ESWW0070020_2,Piecewise Affine,Leaf ROI,0,9,0.02948211506009102,0.09769176691770554,1.0081887245178223,0.3304567039012909,0.9266966581344604,82.0
